county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Allegan,Michigan,4429,0.02956734076144307,0.5,113666,1371,16.273922329,43,3.7613429804,137.737745937045,14.210075459,3.2664406562,245.50635686,358.1,2138.6459096,3896.5037918110957,1206.16543205532,3896.5037918110957
Allegany,New York,3900,-0.845894509001408,0.9166666666666666,59958.16046966732,870.6497064579255,16.31381186290411,45.0665362035225,4.4319270417252445,107.19982159793608,15.471808069716243,5.5754551797745595,250.85073268050877,289.6829745596869,1906.4561559043052,6504.535778700216,1452.0954272744657,6504.535778700216
Alleghany,North Carolina,413,-0.27017799676143556,0.6888888888888889,13393.5,246.5,17.059999632999997,49,4.934800768600001,41.0501464631092,17.5354250325,4.1314323024499995,168.06960239,228.2,3536.37054405,3083.585321237914,1840.4449919737185,3083.585321237914
Allegheny,Pennsylvania,31454,0.0340070911983539,0.6666666666666666,1230360,16701,16.991038873,48,5.1719096724,1685.24852074701,12.731567892,4.0390967328,394.52772054,427,1339.9445133,2556.4875321044246,1357.4075880230178,2556.4875321044246
Allen,Indiana,21092,-48.765113701578485,0.9938271604938271,112929.5433333334,1556.2566666666655,20.699038107908333,42.272499999999994,4.530376632024,198.78993210474923,19.149141910504166,4.215505725058916,241.65278192754997,414.9375833333332,3551.3395772048334,18677.132110366267,1378.0775346563412,18677.132110366267
Allendale,South Carolina,449,0.022152542090739337,0.5,9589,211,22.220363032,24,6.1598941599,23.497269826056,26.677644363,5.802919708,481.86659904,1477.4,5390.6723198,4682.448639065596,2200.438001877151,4682.448639065596
Alpena,Michigan,789,0.02091007748789104,0.8571428571428571,28929,443,17.356943389,45,4.6231393412,50.5870750154684,14.694377187,5.0821011962,303.56647238,228.4,2261.6247512,2727.3670019703413,1531.3353382419025,2727.3670019703413
Amador,California,652,0.02170291896273705,0.6666666666666666,36963,529,10.832189668,46,4.2492997199,62.1674670419954,13.102499807,4.0051679587,237.07073752,170.9,1810.1092896,1763.9260882504125,1431.16089062035,1763.9260882504125
Amelia,Virginia,244,0.01941793381129499,0.5,12793,246,17.359524965,48,4.9010663263,36.0093376781718,15.539960662,3.2211538462,117.10516043,276.5,1805.7784912,1907.293050887204,1922.92660048464,1907.293050887204
Amherst,Virginia,867,0.023916725961190002,0.5,31999,466,16.907827746,51,4.0637254902,67.5173278399129,16.059073072,3.2568072611,133.08074087,364,2258.5561868,2709.4596706147067,1456.2955092346635,2709.4596706147067
